0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1.0,0.98873,0.99323,0.95502,0.96529,0.9712,0.95868,0.9716,0.96294,0.98065,0.94678,0.9174,0.98321,0.95846,0.98819,0.95409,0.97069,0.94678,0.97363,0.97538,0.97706,0.90735,0.89596,0.95572,0.93601,0.98731,0.96629,0.95644,0.96436,0.96142,0.99514,0.96384,0.95672,0.96422,0.9453,0.9526,0.97896,0.94304,0.94152,0.9798,0.96027,0.97364,0.93705,0.98206,0.99177,0.98484,0.98804,0.92904,0.9615,0.98715
0.98873,1.0,0.98111,0.94176,0.9438,0.95287,0.93765,0.98484,0.93939,0.97552,0.91641,0.88851,0.98267,0.94629,0.99483,0.97508,0.96094,0.91641,0.98438,0.98084,0.99286,0.86675,0.89672,0.93433,0.918,0.97421,0.97622,0.97129,0.9701,0.9633,0.99168,0.95699,0.9633,0.98145,0.96895,0.9715,0.96192,0.92494,0.96826,0.97862,0.97662,0.986,0.96483,0.98803,0.99058,0.99479,0.97799,0.90385,0.93827,0.99608
0.99323,0.98111,1.0,0.96615,0.97349,0.97974,0.97473,0.96661,0.97201,0.98294,0.95979,0.9426,0.98576,0.97835,0.98429,0.94966,0.98306,0.95979,0.96826,0.97693,0.97654,0.92208,0.90105,0.97071,0.95296,0.99457,0.96622,0.95245,0.95922,0.96423,0.99566,0.97473,0.95815,0.95944,0.93448,0.94641,0.98457,0.96562,0.93435,0.98075,0.95497,0.97403,0.92203,0.98727,0.98847,0.98346,0.997,0.94647,0.97124,0.98405
0.95502,0.94176,0.96615,1.0,0.9836,0.991,0.98237,0.96619,0.97049,0.98666,0.96531,0.95215,0.97008,0.98889,0.96464,0.90255,0.99273,0.96531,0.94118,0.95656,0.93172,0.9486,0.9178,0.99077,0.97126,0.96981,0.91407,0.94123,0.90201,0.93063,0.9649,0.98371,0.94694,0.91498,0.89065,0.89091,0.97416,0.97595,0.89071,0.94437,0.91304,0.94114,0.8656,0.95911,0.95068,0.9494,0.96656,0.96686,0.97832,0.94491
0.96529,0.9438,0.97349,0.9836,1.0,0.9953,0.99325,0.94517,0.99205,0.97796,0.99202,0.98023,0.95523,0.97643,0.9572,0.88345,0.98199,0.99202,0.92143,0.93443,0.92623,0.97981,0.86235,0.99456,0.98958,0.98441,0.9001,0.90668,0.89208,0.90383,0.9671,0.96002,0.913,0.89769,0.86348,0.8737,0.99513,0.98799,0.86387,0.93186,0.89022,0.9246,0.84695,0.94878,0.94827,0.94875,0.98094,0.99042,0.99858,0.94223
0.9712,0.95287,0.97974,0.991,0.9953,1.0,0.99097,0.95768,0.99,0.98641,0.98374,0.97239,0.96949,0.9839,0.96831,0.90276,0.99272,0.98374,0.94386,0.95624,0.93919,0.96716,0.8991,0.9928,0.98579,0.98371,0.91559,0.92753,0.90379,0.92515,0.97409,0.97585,0.9391,0.91432,0.88908,0.89118,0.99133,0.98647,0.8903,0.94629,0.91281,0.94145,0.86702,0.9652,0.95891,0.95832,0.98256,0.98248,0.9941,0.95696
0.95868,0.93765,0.97473,0.98237,0.99325,0.99097,1.0,0.93929,0.98791,0.97218,0.99259,0.98273,0.95635,0.98678,0.9554,0.88758,0.98489,0.99259,0.91523,0.9406,0.92855,0.97611,0.86359,0.99546,0.98534,0.98633,0.9096,0.9063,0.90001,0.91541,0.96509,0.9653,0.91585,0.90115,0.86441,0.87887,0.99139,0.98883,0.8652,0.93875,0.89286,0.93013,0.84614,0.95054,0.94608,0.94648,0.98196,0.98742,0.99386,0.93834
0.9716,0.98484,0.96661,0.96619,0.94517,0.95768,0.93929,1.0,0.93205,0.98433,0.91061,0.88355,0.98426,0.96077,0.99289,0.96475,0.97113,0.91061,0.98144,0.98154,0.97856,0.86831,0.92443,0.94524,0.92055,0.96153,0.96328,0.98492,0.95545,0.96157,0.98149,0.97269,0.97558,0.97341,0.96346,0.95724,0.95138,0.92725,0.96039,0.97054,0.96908,0.98173,0.95238,0.9819,0.97811,0.98417,0.96228,0.90539,0.93646,0.98165
0.96294,0.93939,0.97201,0.97049,0.99205,0.99,0.98791,0.93205,1.0,0.96257,0.99252,0.98003,0.94128,0.96677,0.9506,0.8669,0.97287,0.99252,0.92143,0.93102,0.91872,0.97947,0.84944,0.98224,0.99203,0.97792,0.88717,0.88816,0.87901,0.89066,0.95953,0.9429,0.90502,0.88273,0.85427,0.85649,0.99319,0.98188,0.85332,0.91789,0.87604,0.91314,0.83185,0.94471,0.93767,0.93862,0.97773,0.98926,0.99428,0.94319
0.98065,0.97552,0.98294,0.98666,0.97796,0.98641,0.97218,0.98433,0.96257,1.0,0.95094,0.93611,0.99215,0.98129,0.98648,0.95006,0.9924,0.95094,0.96911,0.97743,0.96705,0.92146,0.92935,0.97991,0.95479,0.98216,0.95386,0.97132,0.94289,0.95841,0.98846,0.98895,0.96837,0.9579,0.93819,0.9408,0.97767,0.96738,0.93978,0.97473,0.9548,0.97355,0.92414,0.98329,0.98172,0.98163,0.98202,0.94876,0.9723,0.9759
