0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1.0,0.94107,0.85,0.96396,0.98901,0.85,0.98279,0.89881,0.97852,0.95134,0.98005,0.85,0.86857,0.99025,0.85,0.86344,0.95275,0.85,0.95502,0.97243,0.90177,0.96066,0.85,0.94598,0.87222,0.88645,0.88042,0.99466,0.95624,0.98471,0.98367,0.92971,0.92315,0.95632,0.99037,0.86255,0.85,0.91854,0.93517,0.95428,0.85,0.94279,0.8901,0.98278,0.94764,0.98967,0.94231,0.97939,0.94098,0.85,0.95831,0.96063,0.98837,0.96564,0.94782,0.99228,0.97647,0.93346,0.97966,0.88477,0.85,0.93918,0.95176,0.96122,0.98189,0.89266,0.98018,0.97703,0.96961,0.98469,0.88547,0.98764,0.90724,0.8547,0.97247,0.95035,0.93014,0.97779,0.96554,0.94262
0.94107,1.0,0.97008,0.98896,0.95353,0.94306,0.9531,0.98439,0.98494,0.9823,0.97467,0.96855,0.97895,0.93123,0.96584,0.9751,0.99195,0.97375,0.99549,0.97014,0.99123,0.97224,0.95849,0.99522,0.97722,0.98647,0.97976,0.93277,0.99024,0.95353,0.97219,0.99497,0.99191,0.99579,0.96876,0.97644,0.97332,0.98597,0.99231,0.99564,0.9423,0.99575,0.98338,0.94122,0.99679,0.96447,0.98781,0.95642,0.97095,0.92683,0.98106,0.99062,0.96822,0.98391,0.99592,0.94774,0.97761,0.98985,0.90487,0.98389,0.95829,0.97512,0.97773,0.96551,0.96805,0.98869,0.97654,0.91391,0.92895,0.91884,0.98263,0.95918,0.98474,0.9713,0.93911,0.9868,0.99102,0.971,0.98631,0.9923
0.85,0.97008,1.0,0.93694,0.86968,0.99292,0.8638,0.98619,0.92696,0.94743,0.90793,0.99623,0.99668,0.85,0.99563,0.97665,0.95978,0.9985,0.95141,0.91168,0.98394,0.92742,0.99589,0.96772,0.99484,0.99319,0.99121,0.85,0.95274,0.87539,0.89767,0.97593,0.97785,0.95261,0.88796,0.99705,0.99867,0.95881,0.97148,0.95427,0.99323,0.96851,0.99169,0.85845,0.96584,0.88373,0.96378,0.88157,0.92317,0.98692,0.93484,0.94909,0.89239,0.93431,0.96762,0.86329,0.91943,0.97235,0.85,0.99443,0.99646,0.93452,0.93967,0.91535,0.90303,0.99016,0.90645,0.85,0.85,0.85,0.99452,0.88059,0.98438,0.9965,0.85783,0.95676,0.97462,0.90949,0.94312,0.96718
0.96396,0.98896,0.93694,1.0,0.97331,0.89767,0.97815,0.9687,0.99206,0.97636,0.99117,0.93173,0.94977,0.96359,0.92882,0.94264,0.98629,0.94129,0.99574,0.97885,0.96824,0.97966,0.91982,0.98837,0.95382,0.96699,0.95238,0.96073,0.98652,0.97739,0.98773,0.9809,0.9821,0.99031,0.98737,0.9455,0.9405,0.96282,0.98777,0.99345,0.90034,0.98735,0.96208,0.96371,0.98541,0.97964,0.98275,0.98143,0.96274,0.87592,0.97662,0.99512,0.98437,0.99525,0.98801,0.96843,0.99136,0.97842,0.94544,0.96072,0.92521,0.97833,0.97887,0.983,0.98262,0.96418,0.99311,0.95138,0.96588,0.95649,0.95597,0.98393,0.96866,0.94014,0.96635,0.9821,0.98242,0.98443,0.99081,0.98733
0.98901,0.95353,0.86968,0.97331,1.0,0.85,0.98216,0.92647,0.9824,0.97263,0.98229,0.8709,0.89551,0.98832,0.86765,0.88067,0.96722,0.87516,0.96534,0.9919,0.9243,0.96977,0.85,0.9591,0.89352,0.91049,0.90947,0.98403,0.97585,0.9831,0.98085,0.95138,0.94593,0.96889,0.99198,0.89111,0.87138,0.92498,0.95406,0.96187,0.85,0.96086,0.90931,0.96307,0.96062,0.9768,0.95471,0.98549,0.96711,0.85,0.98085,0.97388,0.97987,0.97679,0.96031,0.98139,0.98186,0.95369,0.9713,0.91029,0.85103,0.9348,0.9457,0.96751,0.97431,0.91734,0.98178,0.97161,0.98055,0.97739,0.9091,0.99207,0.92853,0.87838,0.95056,0.95995,0.9429,0.97862,0.98075,0.95696
0.85,0.94306,0.99292,0.89767,0.85,1.0,0.85,0.96591,0.88472,0.91644,0.85982,0.99328,0.98759,0.85,0.99401,0.96915,0.92663,0.99192,0.91915,0.86897,0.96808,0.88397,0.99681,0.93845,0.97825,0.9765,0.97985,0.85,0.91904,0.85,0.85006,0.95222,0.9527,0.91977,0.85,0.98888,0.99271,0.93836,0.9413,0.92428,0.996,0.93968,0.9738,0.85,0.93926,0.85,0.9306,0.85,0.89554,0.99615,0.90272,0.91264,0.85,0.89372,0.93713,0.85,0.87411,0.94576,0.85,0.97847,0.99175,0.90131,0.90213,0.86851,0.85559,0.97752,0.86227,0.85,0.85,0.85,0.97935,0.85,0.96139,0.98685,0.85,0.92334,0.94562,0.86255,0.90499,0.93696
0.98279,0.9531,0.8638,0.97815,0.98216,0.85,1.0,0.91214,0.97458,0.95543,0.98099,0.86533,0.88616,0.9782,0.86177,0.88544,0.9512,0.8732,0.96911,0.97234,0.92096,0.95523,0.85,0.95536,0.88562,0.90761,0.89649,0.98294,0.96317,0.97319,0.97784,0.94173,0.94062,0.9611,0.99005,0.88249,0.87084,0.92788,0.94778,0.96851,0.85,0.94843,0.89976,0.97182,0.95308,0.9816,0.94281,0.98184,0.94477,0.85,0.96101,0.96653,0.98384,0.97284,0.95057,0.97335,0.97345,0.93811,0.96724,0.89768,0.85,0.96426,0.94596,0.95971,0.97561,0.91353,0.98981,0.96473,0.96988,0.97444,0.89542,0.98752,0.91506,0.86485,0.97556,0.95277,0.93764,0.96968,0.96965,0.94844
0.89881,0.98439,0.98619,0.9687,0.92647,0.96591,0.91214,1.0,0.96424,0.97546,0.9513,0.98364,0.99241,0.89446,0.9823,0.96868,0.98507,0.98553,0.97608,0.95536,0.98883,0.95921,0.97525,0.98721,0.98929,0.9952,0.9926,0.89341,0.98046,0.92423,0.93631,0.99323,0.99549,0.9752,0.93534,0.99061,0.98458,0.96613,0.99253,0.97645,0.96277,0.98959,0.99029,0.90093,0.98501,0.92384,0.98345,0.92856,0.96017,0.95222,0.97103,0.97914,0.93125,0.96834,0.98785,0.91203,0.95796,0.98989,0.86801,0.99699,0.9839,0.94903,0.95731,0.9534,0.93973,0.98959,0.94532,0.87852,0.90541,0.88102,0.9938,0.93159,0.99159,0.98701,0.89736,0.9766,0.9868,0.94673,0.97495,0.98691
0.97852,0.98494,0.92696,0.99206,0.9824,0.88472,0.97458,0.96424,1.0,0.97974,0.99655,0.92194,0.94239,0.97085,0.91876,0.93225,0.9912,0.92813,0.99038,0.98431,0.9612,0.98405,0.90387,0.98761,0.94633,0.95673,0.94818,0.97424,0.98769,0.987,0.99101,0.9789,0.97628,0.98923,0.9924,0.93745,0.9282,0.96432,0.98446,0.98784,0.88424,0.98784,0.9567,0.97503,0.9875,0.98836,0.98486,0.98111,0.96761,0.86371,0.9822,0.99259,0.9898,0.9921,0.99073,0.98356,0.9933,0.97931,0.95638,0.95591,0.91527,0.96706,0.9831,0.98553,0.99084,0.95435,0.98942,0.95777,0.96892,0.96355,0.95355,0.98714,0.96626,0.93574,0.96657,0.9846,0.98072,0.98964,0.99196,0.98633
0.95134,0.9823,0.94743,0.97636,0.97263,0.91644,0.95543,0.97546,0.97974,1.0,0.9713,0.95135,0.9653,0.94895,0.95077,0.93447,0.98958,0.95193,0.97742,0.99143,0.97119,0.98233,0.93218,0.98982,0.95985,0.96563,0.97532,0.94259,0.99645,0.95962,0.96247,0.98599,0.98618,0.98402,0.96866,0.9632,0.94888,0.95935,0.98664,0.97944,0.90814,0.98593,0.9685,0.93845,0.98668,0.95938,0.98627,0.96894,0.97223,0.89056,0.99232,0.98661,0.9668,0.98029,0.98529,0.95698,0.97943,0.99219,0.92296,0.96931,0.93117,0.95421,0.96406,0.96979,0.96845,0.97438,0.96896,0.93411,0.93963,0.93548,0.97255,0.96971,0.98045,0.94893,0.93085,0.99041,0.98113,0.9762,0.99239,0.98697
