0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1.0,0.9423,0.95376,0.98449,0.99628,0.90154,0.99762,0.99879,0.92757,0.99647,0.99782,0.98536,0.99794,0.95261,0.97731,0.99659,0.96431,0.998,0.99507,0.93213,0.99296,0.98144,0.9983,0.99889,0.99932,0.99822,0.96753,0.99786,0.99785,0.93587,0.99995,0.93573,0.99815,0.966,0.99782,0.99787,0.99832,0.9679,0.97282,0.99214,0.99844,0.91217,0.954,0.99565,0.93281,0.92821,0.95041,0.95927,0.96778,0.99867,0.95206,0.96394,0.99553,0.98782,0.90903,0.99914,0.99794,0.91082,0.99953,0.99874,0.96391,0.99642,0.97181,0.88738,0.99859,0.93792,0.99701,0.93559,0.93317,0.99338,0.98999,0.9972,0.99831,0.89398,0.96921,0.98545,0.99873,0.94471,0.99828,0.99696
0.9423,1.0,0.95559,0.94438,0.94079,0.97746,0.94914,0.95235,0.97255,0.96245,0.93919,0.91134,0.94256,0.98135,0.96063,0.95645,0.977,0.94208,0.94233,0.94245,0.95358,0.95446,0.94393,0.93843,0.9449,0.94253,0.96215,0.93828,0.94252,0.95634,0.94137,0.98545,0.94872,0.97563,0.93689,0.95297,0.94914,0.95316,0.95223,0.93817,0.94871,0.92835,0.979,0.94295,0.94424,0.95179,0.95747,0.97256,0.95535,0.94875,0.9665,0.97648,0.95725,0.96405,0.95307,0.94088,0.94372,0.94092,0.94698,0.94443,0.97094,0.93057,0.96321,0.94125,0.9509,0.98333,0.95354,0.93627,0.95232,0.94639,0.9646,0.94189,0.94776,0.9345,0.98566,0.94943,0.94453,0.97377,0.94912,0.95407
0.95376,0.95559,1.0,0.98436,0.95185,0.92182,0.94511,0.95557,0.97269,0.95864,0.94825,0.95113,0.94206,0.95911,0.97612,0.95737,0.9851,0.94172,0.96317,0.96507,0.97081,0.97875,0.94434,0.94391,0.95045,0.94245,0.98558,0.94548,0.94166,0.98919,0.95221,0.95452,0.94916,0.95966,0.94888,0.94961,0.9484,0.98832,0.98462,0.96849,0.95473,0.97254,0.96852,0.96079,0.99532,0.98958,0.96853,0.99103,0.96884,0.94827,0.97853,0.99032,0.9612,0.96411,0.98326,0.95207,0.95892,0.9813,0.95283,0.95916,0.96465,0.95461,0.98316,0.96652,0.95212,0.97358,0.94936,0.97487,0.99028,0.96874,0.9742,0.95921,0.94694,0.97628,0.97496,0.97073,0.94594,0.99366,0.96209,0.96057
0.98449,0.94438,0.98436,1.0,0.98521,0.91024,0.97732,0.98393,0.95636,0.98248,0.98405,0.98686,0.97631,0.96394,0.99096,0.98476,0.98478,0.97601,0.99013,0.96489,0.99199,0.99567,0.97779,0.97817,0.98105,0.97624,0.99047,0.97943,0.97584,0.96865,0.98361,0.95067,0.97929,0.9667,0.98275,0.97947,0.98032,0.99279,0.99281,0.99389,0.98509,0.95402,0.96802,0.98931,0.96972,0.9635,0.97564,0.97926,0.9849,0.97964,0.97694,0.98106,0.98789,0.98569,0.94595,0.98465,0.98839,0.95344,0.98321,0.98834,0.97614,0.98799,0.98975,0.92556,0.98234,0.96023,0.97991,0.97139,0.96854,0.99092,0.99002,0.98858,0.97918,0.93374,0.97711,0.99397,0.9784,0.97228,0.98859,0.98771
0.99628,0.94079,0.95185,0.98521,1.0,0.89801,0.99407,0.99657,0.93189,0.99134,0.99687,0.98584,0.99423,0.95679,0.98283,0.99383,0.96592,0.99434,0.99602,0.94571,0.99489,0.98717,0.99452,0.99574,0.99434,0.99497,0.97342,0.9973,0.99423,0.93732,0.99594,0.94184,0.99494,0.9612,0.99866,0.99391,0.99544,0.97131,0.97909,0.99366,0.99675,0.91772,0.96028,0.9969,0.93008,0.92785,0.96104,0.96089,0.97304,0.99486,0.95993,0.96332,0.99497,0.9921,0.90612,0.99723,0.99726,0.91283,0.99639,0.99733,0.97324,0.99652,0.9781,0.88285,0.99642,0.93812,0.99401,0.94526,0.93421,0.99408,0.99259,0.99721,0.99542,0.891,0.97078,0.98957,0.99517,0.94456,0.99684,0.99532
0.90154,0.97746,0.92182,0.91024,0.89801,1.0,0.91406,0.91438,0.96537,0.93126,0.90143,0.87064,0.9045,0.96419,0.9287,0.92785,0.95895,0.90274,0.90381,0.91825,0.9153,0.92314,0.90674,0.89535,0.90536,0.90147,0.93459,0.89239,0.90415,0.92803,0.90059,0.96996,0.90778,0.95552,0.89193,0.91934,0.9135,0.9214,0.91644,0.89905,0.91416,0.90246,0.96264,0.90492,0.90835,0.92691,0.93261,0.9409,0.94381,0.9123,0.94795,0.94246,0.92807,0.93072,0.93036,0.90122,0.90607,0.91659,0.90801,0.90597,0.94718,0.88681,0.9352,0.92863,0.91502,0.97333,0.92293,0.90853,0.92644,0.9067,0.92432,0.90303,0.91195,0.90461,0.95894,0.92092,0.90466,0.93931,0.91085,0.92451
0.99762,0.94914,0.94511,0.97732,0.99407,0.91406,1.0,0.99811,0.93077,0.9972,0.99715,0.977,0.99955,0.95746,0.97323,0.99745,0.96416,0.99938,0.99073,0.93074,0.98881,0.97809,0.99962,0.998,0.99818,0.99911,0.96439,0.99696,0.99949,0.93245,0.99787,0.94136,0.99768,0.96629,0.9951,0.99974,0.99952,0.96151,0.96778,0.9865,0.9981,0.90867,0.95597,0.99212,0.92455,0.92279,0.95012,0.95364,0.96881,0.99974,0.95123,0.95812,0.99591,0.98773,0.90433,0.99723,0.99516,0.90701,0.9986,0.99581,0.96624,0.99077,0.96778,0.88582,0.99888,0.94133,0.99935,0.93244,0.92868,0.98802,0.98639,0.99369,0.99977,0.88804,0.96886,0.98346,0.99892,0.93926,0.99523,0.99618
0.99879,0.95235,0.95557,0.98393,0.99657,0.91438,0.99811,1.0,0.93497,0.99751,0.99709,0.98238,0.99785,0.95903,0.98081,0.99713,0.96869,0.9979,0.99426,0.93598,0.99434,0.98345,0.99822,0.99839,0.99878,0.99833,0.97005,0.99759,0.99782,0.93985,0.99862,0.94437,0.99911,0.97197,0.99714,0.99852,0.99844,0.96987,0.97472,0.99137,0.99844,0.91553,0.96083,0.99501,0.93486,0.93135,0.95506,0.96339,0.97112,0.99882,0.95712,0.96779,0.99658,0.98968,0.91344,0.99883,0.99703,0.9146,0.99964,0.99776,0.97021,0.99502,0.97482,0.89209,0.9993,0.94474,0.99813,0.93822,0.93662,0.99312,0.99236,0.99623,0.99884,0.89824,0.97562,0.98615,0.99893,0.94882,0.99811,0.99722
0.92757,0.97255,0.97269,0.95636,0.93189,0.96537,0.93077,0.93497,1.0,0.94402,0.92781,0.91318,0.92345,0.97594,0.9609,0.94548,0.98884,0.92208,0.94167,0.98058,0.95015,0.96723,0.92557,0.918,0.92468,0.92124,0.98106,0.92151,0.92294,0.98721,0.92611,0.97945,0.92501,0.94539,0.92218,0.93468,0.93261,0.96669,0.97021,0.94016,0.93805,0.97692,0.98442,0.94161,0.97047,0.98331,0.97689,0.97867,0.9764,0.93006,0.99076,0.97246,0.95094,0.96038,0.98009,0.92684,0.93871,0.98238,0.92972,0.93698,0.9773,0.92193,0.97753,0.97791,0.93395,0.99316,0.93762,0.97957,0.98667,0.94457,0.95717,0.93751,0.9303,0.96821,0.97139,0.96184,0.9232,0.98198,0.94015,0.94713
0.99647,0.96245,0.95864,0.98248,0.99134,0.93126,0.9972,0.99751,0.94402,1.0,0.99391,0.97564,0.99562,0.96753,0.98012,0.99818,0.97513,0.99535,0.99139,0.93781,0.99154,0.98174,0.99629,0.99444,0.99695,0.99523,0.97206,0.99243,0.99543,0.94463,0.99637,0.9543,0.99661,0.97878,0.99205,0.99843,0.99743,0.9702,0.97311,0.98716,0.99707,0.91857,0.96679,0.99212,0.93878,0.93764,0.95716,0.96749,0.97413,0.99777,0.96111,0.97206,0.99691,0.9905,0.92297,0.99497,0.99488,0.9208,0.99725,0.99565,0.972,0.98931,0.97574,0.90494,0.99778,0.95643,0.99816,0.93901,0.94176,0.99065,0.99138,0.9935,0.99711,0.90578,0.98086,0.98541,0.99632,0.95488,0.99618,0.99745
